,movie_name,movie_rating,movie_genre,movie_director,movie_actor,movie_genre_split,movie_director_split,movie_actor_split
832,젠틀맨,8.1,"['범죄', '액션']",가이 리치,"['매튜 맥커너히', '휴 그랜트', '콜린 파렐', '찰리 허냄']",범죄 액션,가이리치,매튜맥커너히 휴그랜트 콜린파렐 찰리허냄
833,파바로티,8.7,['다큐멘터리'],론 하워드,['루치아노 파바로티'],다큐멘터리,론하워드,루치아노파바로티
834,피아니스트의 전설,9.1,"['드라마', '로맨스', '멜로']",쥬세페 토르나토레,"['팀 로스', '프룻 테일러 빈스']",드라마 로맨스 멜로,쥬세페토르나토레,팀로스 프룻테일러빈스
835,해리포터와 아즈카반의 죄수,8.4,"['판타지', '어드벤처']",알폰소 쿠아론,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",판타지 어드벤처,알폰소쿠아론,다니엘래드클리프 엠마왓슨 루퍼트그린트
836,페인 앤 글로리,7.6,['드라마'],페드로 알모도바르,"['페넬로페 크루즈', '안토니오 반데라스']",드라마,페드로알모도바르,페넬로페크루즈 안토니오반데라스
837,캣츠,5.6,"['뮤지컬', '드라마']",톰 후퍼,"['제니퍼 허드슨', '테일러 스위프트', '이드리스 엘바', '프란체스카 헤이워드', '주디 덴치', '이안 맥켈런', '제이슨 데룰로', '제임스 코든', '레벨 윌슨', '레이 윈스턴']",뮤지컬 드라마,톰후퍼,제니퍼허드슨 테일러스위프트 이드리스엘바 프란체스카헤이워드 주디덴치 이안맥켈런 제이슨데룰로 제임스코든 레벨윌슨 레이윈스턴
838,타발루가와 얼음공주,5.7,"['애니메이션', '가족']",스벤 운터발트 주니어,"['김혜성', '강은애']",애니메이션 가족,스벤운터발트주니어,김혜성 강은애
839,"하이, 젝시",7.0,['코미디'],존 루카스,"['애덤 드바인', '로즈 번']",코미디,존루카스,애덤드바인 로즈번
840,오즈의 마법사: 요술구두와 말하는 책,4.0,"['애니메이션', '코미디', '가족']",표도르 드미트리에프,"['김소희', '허성재', '석승훈']",애니메이션 코미디 가족,표도르드미트리에프,김소희 허성재 석승훈
841,하이큐!! 땅 VS 하늘,6.9,['애니메이션'],미츠나카 스스무,X,애니메이션,미츠나카스스무,X
842,극장판 원피스 스탬피드,7.6,"['애니메이션', '어드벤처', '액션', '판타지']",오오츠카 타카시,"['강수진', '한상혁', '정미숙', '김승준', '김소형', '타나카 마유미', '오카무라 아케미', '나카이 카즈야', '야마구치 캇페이']",애니메이션 어드벤처 액션 판타지,오오츠카타카시,강수진 한상혁 정미숙 김승준 김소형 타나카마유미 오카무라아케미 나카이카즈야 야마구치캇페이
843,"고흐, 영원의 문에서",8.2,['드라마'],줄리안 슈나벨,['윌렘 데포'],드라마,줄리안슈나벨,윌렘데포
844,울지마 톤즈 2 : 슈크란 바바,9.7,['다큐멘터리'],강성옥,['이태석'],다큐멘터리,강성옥,이태석
845,이 멋진 세계에 축복을! 붉은 전설,7.7,"['애니메이션', '액션', '코미디', '판타지']",칸자키 타카오미,"['후쿠시마 쥰', '아마미야 소라', '타카하시 리에', '카야노 아이']",애니메이션 액션 코미디 판타지,칸자키타카오미,후쿠시마쥰 아마미야소라 타카하시리에 카야노아이
846,사마에게,9.7,['다큐멘터리'],와드 알-카팁,X,다큐멘터리,와드알-카팁,X
847,핑크퐁 시네마 콘서트 : 우주대탐험,7.1,['애니메이션'],변희선,"['조경이', '김서영']",애니메이션,변희선,조경이 김서영
848,슈퍼 베어 ,6.6,"['액션', '어드벤처', '애니메이션']",왕치,"['김기두', '서반석', '이다은', '박성영']",액션 어드벤처 애니메이션,왕치,김기두 서반석 이다은 박성영
849,두 교황,9.1,['드라마'],페르난도 메이렐레스,"['조나단 프라이스', '안소니 홉킨스']",드라마,페르난도메이렐레스,조나단프라이스 안소니홉킨스
